Tipo;Protocolo;Payload;Freq;Amostras_Validas;CPU_Media;CPU_Max;RAM_Media_MB;RAM_Max_MB;Latencia_Media_ms;Latencia_Min_ms;Latencia_Max_ms;Jitter_StdDev_ms;P95_ms;P99_ms
RECURSOS;coap;16b;1hz;480;1,4488;6,2100;124,4108;127,0000;;;;;;
RECURSOS;coap;16b;5hz;480;1,7400;7,4000;122,6169;125,4000;;;;;;
RECURSOS;coap;256b;1hz;480;1,5741;6,1800;134,6944;136,9000;;;;;;
RECURSOS;coap;256b;5hz;480;1,9780;6,8700;135,9025;139,2000;;;;;;
RECURSOS;coap;64b;1hz;480;1,5162;6,3700;133,6829;137,7000;;;;;;
RECURSOS;coap;64b;5hz;480;1,8177;7,6300;129,4060;131,4000;;;;;;
RECURSOS;mqtt;16b;1hz;480;0,0464;0,1700;1,4229;1,5500;;;;;;
RECURSOS;mqtt;16b;5hz;480;0,1611;0,4800;1,4767;1,6600;;;;;;
RECURSOS;mqtt;256b;1hz;480;0,0563;0,1300;1,4930;1,6200;;;;;;
RECURSOS;mqtt;256b;5hz;480;0,0752;0,2500;1,5194;1,6400;;;;;;
RECURSOS;mqtt;64b;1hz;480;0,0692;0,1400;1,4384;1,5600;;;;;;
RECURSOS;mqtt;64b;5hz;480;0,2075;0,4200;1,4654;1,5800;;;;;;
REDE;coap;16b;1hz;454;;;;;489,1124;6,2340;932,3590;188,4716;682,1501;800,2808
REDE;coap;16b;5hz;1005;;;;;96,7942;0,8280;200,3070;63,8568;190,7888;198,7204
REDE;coap;256b;1hz;478;;;;;510,4951;6,2200;845,5660;183,8325;730,7791;792,8927
REDE;coap;256b;5hz;982;;;;;98,2116;0,9290;200,4120;65,6057;191,9967;198,8322
REDE;coap;64b;1hz;478;;;;;520,7606;6,4200;895,3610;185,6533;748,3370;815,7854
REDE;coap;64b;5hz;1004;;;;;91,9293;0,8650;200,2070;65,4046;191,5569;198,9216
REDE;mqtt;16b;1hz;454;;;;;115,1831;6,8330;831,2120;159,5826;512,3642;654,0512
REDE;mqtt;16b;5hz;1898;;;;;87,5340;1,3270;7574,3150;257,9911;184,2712;198,7610
REDE;mqtt;256b;1hz;478;;;;;118,9118;11,8260;973,3400;165,6452;476,5162;885,4848
REDE;mqtt;256b;5hz;1574;;;;;76,1625;6,1810;9379,0700;409,2203;161,4779;198,9289
REDE;mqtt;64b;1hz;477;;;;;163,9242;7,2360;977,1400;236,8335;748,8840;854,5268
REDE;mqtt;64b;5hz;2400;;;;;45,8198;2,7120;201,4780;49,7861;158,8595;192,2660
